file_name,architecture_name,source_section,recommended_diagram_type,primary_message,core_mechanisms,ambiguity_notes
01_hypervisor_clustering.puml,Hypervisor Clustering,14.1,Sequence,VIM-orchestrated live VM migration restores virtual server hosting when a hypervisor stops responding,"hypervisor; resource cluster; virtual server; logical network perimeter; resource replication",None
02_virtual_server_clustering.puml,Virtual Server Clustering,14.2,Deployment,Resource cluster groups virtual servers across hypervisors for resilience and scalability,"hypervisor; resource cluster; virtual server; logical network perimeter; resource replication",None
03_load_balanced_virtual_server_instances.puml,Load-Balanced Virtual Server Instances,14.3,Sequence,Capacity watchdog system rebalances workload via live VM migration on a hypervisor cluster,"hypervisor; resource cluster; virtual server; cloud usage monitor (capacity watchdog); automated scaling listener; load balancer; logical network perimeter; resource replication",None
04_nondisruptive_service_relocation.puml,Nondisruptive Service Relocation,14.4,Sequence,Duplicate destination implementation is confirmed before original is removed - zero disruption to consumers,"automated scaling listener; load balancer; cloud storage device; hypervisor; virtual server; cloud usage monitor; pay-per-use monitor; resource replication; SLA management system; SLA monitor",Two migration modes (local vs shared storage) noted; conflicts with the direct I/O access architecture
05_zero_downtime.puml,Zero Downtime,14.5,Deployment,Active-active failover group migrates virtual servers off a failed physical server without interruption,"failover system; cloud storage device; virtual server; audit monitor; cloud usage monitor; hypervisor; logical network perimeter; resource cluster; resource replication",None
06_cloud_balancing.puml,Cloud Balancing,14.6,Component,Cross-cloud routing via the automated scaling listener plus cross-cloud failover via the failover system,"automated scaling listener; failover system; resource replication (optional)",Resource replication only required when manual cross-cloud sync is not possible
07_resilient_disaster_recovery.puml,Resilient Disaster Recovery,14.7,Deployment,Cloud-based replicas of on-premises critical resources stay synchronized as a secondary disaster-recovery site,"hypervisor; virtual server; cloud storage device; resource replication; storage replication",None
08_distributed_data_sovereignty.puml,Distributed Data Sovereignty,14.8,Deployment,Data governance manager pins data replicas to compliant geographic regions,"cloud storage device; audit monitor; storage replication",Multicloud architecture is noted as an alternative approach
09_resource_reservation.puml,Resource Reservation,14.9,Activity,Resource management system enforces reservation limits with controlled borrow and reclaim,"resource management system; remote administration system; audit monitor; cloud usage monitor; hypervisor; logical network perimeter; resource replication",None
10_dynamic_failure_detection_and_recovery.puml,Dynamic Failure Detection and Recovery,14.10,Activity,Watchdog runs sequential recovery policy and escalates only when automatic recovery fails,"intelligent watchdog monitor; resilient watchdog system; audit monitor; failover system; SLA management system; SLA monitor",Specific four-step recovery policy follows the example in Figure 14.25
11_rapid_provisioning.puml,Rapid Provisioning,14.11,Sequence,Sequence manager and deployment engine automate OS provisioning baselines and application deployment,"automated provisioning program; rapid provisioning engine (deployment engine); sequence manager; sequence logger; deployment data store; server templates and images; application packages; custom scripts; OS baseline; application configuration baseline; cloud storage device; hypervisor; resource replication",None
12_storage_workload_management.puml,Storage Workload Management,14.12,Sequence,LUN migration redistributes LUNs across cloud storage devices transparently to consumers,"cloud storage device; LUN migration; storage capacity system; storage capacity monitor; audit monitor; automated scaling listener; cloud usage monitor; load balancer; logical network perimeter",None
13_virtual_private_cloud.puml,Virtual Private Cloud,14.13,Deployment,Dedicated physical slice of a public cloud accessed exclusively via VPN,"hypervisor; virtual server; cloud storage device; virtual switch",Dedicated physical link is noted as an alternative to VPN
14_case_study_example.puml,Case Study (Innovartus Role Player),14.14,Component,Cloud-balanced Role Player with central load balancer and intercloud failover across two providers,"load balancer; automated scaling listener; failover system",None



